task,difficulty,reward,verifier_status,verifier_passed,verifier_total,end_status,native_finish_reason,model_responses,tool_calls,input_tokens,cache_read_tokens,cache_write_tokens,output_tokens,reasoning_tokens,trace_usage_observed,trace_source,agent_time_seconds,verifier_time_seconds,end_to_end_time_seconds,finished_at,attempt_count,trial_name,result_path,metric_source,token_coverage,model_count_semantics,tool_count_semantics,session_id,formal_score_eligible,selection_policy,exception_type,total_tokens,post_agent_model_responses,post_agent_observed_tokens,token_source,tool_source
cobol-modernization,Easy,1.0,passed,3,3,completed,completed,24,24,146423,894464,0,44810,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__16-57-48-473908__cobol-modernization/cobol-modernization__Gm2RZ4d/agent/session.jsonl,897.983011,23.086174,948.477697,2026-09-09T17:13:37.995997Z,1,cobol-modernization__Gm2RZ4d,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__16-57-48-473908__cobol-modernization/cobol-modernization__Gm2RZ4d/result.json,task_native_turn,native_run_total,native_llm_rounds,native_tool_count,70df070c-2085-4423-b691-ee6b7b7ee446,False,latest_run_by_job_timestamp,,1085697,0,0,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__16-57-48-473908__cobol-modernization/cobol-modernization__Gm2RZ4d/agent/session.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__16-57-48-473908__cobol-modernization/cobol-modernization__Gm2RZ4d/old/astra_runtime/agent_run_events.jsonl (cache_write_tokens only),/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__16-57-48-473908__cobol-modernization/cobol-modernization__Gm2RZ4d/agent/session.jsonl
code-from-image,Medium,0.0,failed,0,2,timeout,timeout,34,37,90823,1358016,0,21021,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-10__14-24-56-836229__code-from-image/code-from-image__A7Edyt2/current/astra_runtime/agent_run_events.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-10__14-24-56-836229__code-from-image/code-from-image__A7Edyt2/current/astra_runtime/inference_invocations.jsonl,1207.594098,44.278268,1276.404295,2026-09-10T14:46:14.137499Z,3,code-from-image__A7Edyt2,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__14-24-56-836229__code-from-image/code-from-image__A7Edyt2/result.json,database_export,observed_primary_invocations_lower_bound,succeeded_primary_invocations,deduplicated_run_id_tool_call_id,f6116905-6c0e-4430-9435-cda6ae7d5476,False,latest_run_by_job_timestamp,,1469860,2,136307,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-10__14-24-56-836229__code-from-image/code-from-image__A7Edyt2/current/astra_runtime/agent_run_events.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-10__14-24-56-836229__code-from-image/code-from-image__A7Edyt2/current/astra_runtime/inference_invocations.jsonl,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-10__14-24-56-836229__code-from-image/code-from-image__A7Edyt2/current/astra_runtime/agent_run_events.jsonl
compile-compcert,Medium,0.0,failed,0,3,timeout,timeout,30,43,137546,1102080,0,12323,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-11__00-43-13-248677__compile-compcert/compile-compcert__yvAdpLT/current/astra_runtime/agent_run_events.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-11__00-43-13-248677__compile-compcert/compile-compcert__yvAdpLT/current/astra_runtime/inference_invocations.jsonl,2410.952478,139.935079,2653.228727,2026-09-11T01:27:27.603236Z,2,compile-compcert__yvAdpLT,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-11__00-43-13-248677__compile-compcert/compile-compcert__yvAdpLT/result.json,database_export,observed_primary_invocations_lower_bound,succeeded_primary_invocations,deduplicated_run_id_tool_call_id,74deb20d-7e8b-49fb-8c8c-bce0bb8262cc,False,latest_run_by_job_timestamp,,1251949,5,211747,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-11__00-43-13-248677__compile-compcert/compile-compcert__yvAdpLT/current/astra_runtime/agent_run_events.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-11__00-43-13-248677__compile-compcert/compile-compcert__yvAdpLT/current/astra_runtime/inference_invocations.jsonl,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-11__00-43-13-248677__compile-compcert/compile-compcert__yvAdpLT/current/astra_runtime/agent_run_events.jsonl
configure-git-webserver,Hard,1.0,passed,1,1,completed,completed,20,19,38024,649024,0,4333,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/state/environment-retry-20260911/data/work/linux-terminal-bench/astra/jobs/2026-09-11__06-03-58-009688__configure-git-webserver/configure-git-webserver__rjzgpVj/agent/session.jsonl,238.041635,96.442736,396.38707,2026-09-11T06:10:35.855277Z,1,configure-git-webserver__rjzgpVj,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/state/environment-retry-20260911/data/work/linux-terminal-bench/astra/jobs/2026-09-11__06-03-58-009688__configure-git-webserver/configure-git-webserver__rjzgpVj/result.json,task_native_turn,native_run_total,native_llm_rounds,native_tool_count,cd5b84ef-40f5-4643-98ec-1d2d51629957,False,latest_completed_run_in_environment_retry_20260911,,691381,0,0,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/state/environment-retry-20260911/data/work/linux-terminal-bench/astra/jobs/2026-09-11__06-03-58-009688__configure-git-webserver/configure-git-webserver__rjzgpVj/agent/session.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-11__06-03-58-009688__configure-git-webserver/configure-git-webserver__rjzgpVj/current/astra_runtime/agent_run_events.jsonl (cache_write_tokens only),/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/state/environment-retry-20260911/data/work/linux-terminal-bench/astra/jobs/2026-09-11__06-03-58-009688__configure-git-webserver/configure-git-webserver__rjzgpVj/agent/session.jsonl
constraints-scheduling,Medium,1.0,passed,3,3,completed,completed,7,7,25464,222720,0,5684,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__08-06-58-968469__constraints-scheduling/constraints-scheduling__MgTwA7r/agent/session.jsonl,141.917942,34.919051,202.70655,2026-09-10T08:10:22.705004Z,2,constraints-scheduling__MgTwA7r,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__08-06-58-968469__constraints-scheduling/constraints-scheduling__MgTwA7r/result.json,task_native_turn,native_run_total,native_llm_rounds,native_tool_count,991a3a1b-f146-405f-8844-aadeca6b2c5f,False,latest_run_by_job_timestamp,,253868,0,0,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__08-06-58-968469__constraints-scheduling/constraints-scheduling__MgTwA7r/agent/session.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-10__08-06-58-968469__constraints-scheduling/constraints-scheduling__MgTwA7r/current/astra_runtime/agent_run_events.jsonl (cache_write_tokens only),/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__08-06-58-968469__constraints-scheduling/constraints-scheduling__MgTwA7r/agent/session.jsonl
count-dataset-tokens,Medium,1.0,passed,1,1,completed,completed,27,33,146732,1007872,0,12402,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__17-15-34-630506__count-dataset-tokens/count-dataset-tokens__xwCwjGU/agent/session.jsonl,670.910026,22.558324,724.389121,2026-09-09T17:27:40.367417Z,1,count-dataset-tokens__xwCwjGU,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__17-15-34-630506__count-dataset-tokens/count-dataset-tokens__xwCwjGU/result.json,task_native_turn,native_run_total,native_llm_rounds,native_tool_count,3e75ffa3-717b-43a2-b34b-d0e963fc3b49,False,latest_run_by_job_timestamp,,1167006,0,0,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__17-15-34-630506__count-dataset-tokens/count-dataset-tokens__xwCwjGU/agent/session.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__17-15-34-630506__count-dataset-tokens/count-dataset-tokens__xwCwjGU/old/astra_runtime/agent_run_events.jsonl (cache_write_tokens only),/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__17-15-34-630506__count-dataset-tokens/count-dataset-tokens__xwCwjGU/agent/session.jsonl
crack-7z-hash,Medium,0.0,failed,0,2,failed,execution_incomplete,26,32,109004,864448,0,29698,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__13-08-56-742093__crack-7z-hash/crack-7z-hash__ZSXhiZS/agent/session.jsonl,1554.177033,26.205934,1641.124299,2026-09-09T13:36:21.064440Z,1,crack-7z-hash__ZSXhiZS,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__13-08-56-742093__crack-7z-hash/crack-7z-hash__ZSXhiZS/result.json,task_native_turn,native_run_total,native_llm_rounds,native_tool_count,92a012cc-59ab-4d6e-a678-1e3ee08172cb,False,latest_run_by_job_timestamp,,1003150,0,0,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__13-08-56-742093__crack-7z-hash/crack-7z-hash__ZSXhiZS/agent/session.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__13-08-56-742093__crack-7z-hash/crack-7z-hash__ZSXhiZS/old/astra_runtime/agent_run_events.jsonl (cache_write_tokens only),/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__13-08-56-742093__crack-7z-hash/crack-7z-hash__ZSXhiZS/agent/session.jsonl
custom-memory-heap-crash,Medium,1.0,passed,6,6,completed,completed,31,44,193930,1188288,0,46791,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__14-46-23-348644__custom-memory-heap-crash/custom-memory-heap-crash__z6u6MGw/agent/session.jsonl,1036.515473,62.557838,1125.448057,2026-09-10T15:05:09.827178Z,2,custom-memory-heap-crash__z6u6MGw,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__14-46-23-348644__custom-memory-heap-crash/custom-memory-heap-crash__z6u6MGw/result.json,task_native_turn,native_run_total,native_llm_rounds,native_tool_count,480f4d5f-9c31-4db9-98c2-f1aa702832bf,False,latest_run_by_job_timestamp,,1429009,0,0,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__14-46-23-348644__custom-memory-heap-crash/custom-memory-heap-crash__z6u6MGw/agent/session.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-10__14-46-23-348644__custom-memory-heap-crash/custom-memory-heap-crash__z6u6MGw/current/astra_runtime/agent_run_events.jsonl (cache_write_tokens only),/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__14-46-23-348644__custom-memory-heap-crash/custom-memory-heap-crash__z6u6MGw/agent/session.jsonl
db-wal-recovery,Medium,1.0,passed,7,7,completed,completed,11,10,29299,385152,0,2482,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__17-27-45-896856__db-wal-recovery/db-wal-recovery__FLgYZvw/agent/session.jsonl,121.277238,33.869284,182.632952,2026-09-09T17:30:49.956027Z,1,db-wal-recovery__FLgYZvw,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__17-27-45-896856__db-wal-recovery/db-wal-recovery__FLgYZvw/result.json,task_native_turn,native_run_total,native_llm_rounds,native_tool_count,c44ae925-d360-4d41-ba4b-92e4135f21c0,False,latest_run_by_job_timestamp,,416933,0,0,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__17-27-45-896856__db-wal-recovery/db-wal-recovery__FLgYZvw/agent/session.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__17-27-45-896856__db-wal-recovery/db-wal-recovery__FLgYZvw/old/astra_runtime/agent_run_events.jsonl (cache_write_tokens only),/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__17-27-45-896856__db-wal-recovery/db-wal-recovery__FLgYZvw/agent/session.jsonl
distribution-search,Medium,1.0,passed,4,4,completed,completed,5,4,117930,73856,0,8687,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__14-51-08-744625__distribution-search/distribution-search__6tRbG4K/agent/session.jsonl,198.297588,389.111752,615.194189,2026-09-09T15:01:25.157370Z,2,distribution-search__6tRbG4K,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__14-51-08-744625__distribution-search/distribution-search__6tRbG4K/result.json,task_native_turn,native_run_total,native_llm_rounds,native_tool_count,baf316b5-82cd-4a18-b594-750a10b6b36c,False,latest_run_by_job_timestamp,,200473,0,0,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__14-51-08-744625__distribution-search/distribution-search__6tRbG4K/agent/session.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__14-51-08-744625__distribution-search/distribution-search__6tRbG4K/old/astra_runtime/agent_run_events.jsonl (cache_write_tokens only),/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__14-51-08-744625__distribution-search/distribution-search__6tRbG4K/agent/session.jsonl
dna-assembly,Hard,0.0,failed,0,1,timeout,timeout,14,21,106948,504768,0,102378,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-10__15-05-14-251860__dna-assembly/dna-assembly__cuaKZmv/current/astra_runtime/agent_run_events.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-10__15-05-14-251860__dna-assembly/dna-assembly__cuaKZmv/current/astra_runtime/inference_invocations.jsonl,1806.112396,38.904001,1904.155448,2026-09-10T15:36:59.446279Z,2,dna-assembly__cuaKZmv,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__15-05-14-251860__dna-assembly/dna-assembly__cuaKZmv/result.json,database_export,observed_primary_invocations_lower_bound,succeeded_primary_invocations,deduplicated_run_id_tool_call_id,bf34e98f-6a13-45c5-be6f-8989d28e3364,False,latest_run_by_job_timestamp,,714094,21,1371763,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-10__15-05-14-251860__dna-assembly/dna-assembly__cuaKZmv/current/astra_runtime/agent_run_events.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-10__15-05-14-251860__dna-assembly/dna-assembly__cuaKZmv/current/astra_runtime/inference_invocations.jsonl,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-10__15-05-14-251860__dna-assembly/dna-assembly__cuaKZmv/current/astra_runtime/agent_run_events.jsonl
dna-insert,Medium,0.0,failed,0,1,completed,completed,15,20,130018,463040,0,19056,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__13-36-28-100897__dna-insert/dna-insert__X8WEUPL/agent/session.jsonl,462.575589,27.238782,589.067155,2026-09-09T13:46:18.717709Z,1,dna-insert__X8WEUPL,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__13-36-28-100897__dna-insert/dna-insert__X8WEUPL/result.json,task_native_turn,native_run_total,native_llm_rounds,native_tool_count,15d54b82-7e9b-4173-94b0-c11f565e4542,False,latest_run_by_job_timestamp,,612114,0,0,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__13-36-28-100897__dna-insert/dna-insert__X8WEUPL/agent/session.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__13-36-28-100897__dna-insert/dna-insert__X8WEUPL/old/astra_runtime/agent_run_events.jsonl (cache_write_tokens only),/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__13-36-28-100897__dna-insert/dna-insert__X8WEUPL/agent/session.jsonl
extract-elf,Medium,0.0,failed,0,2,timeout,timeout,7,10,63286,214528,0,46311,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__17-30-55-871426__extract-elf/extract-elf__h52gGrS/old/astra_runtime/agent_run_events.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__17-30-55-871426__extract-elf/extract-elf__h52gGrS/old/astra_runtime/inference_invocations.jsonl,906.809137,31.158317,966.63188,2026-09-09T17:47:03.605948Z,1,extract-elf__h52gGrS,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__17-30-55-871426__extract-elf/extract-elf__h52gGrS/result.json,database_export,observed_primary_invocations_lower_bound,succeeded_primary_invocations,deduplicated_run_id_tool_call_id,19ad22e0-3124-4c60-976d-4f6bb1daaf9d,False,latest_run_by_job_timestamp,,324125,20,928631,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__17-30-55-871426__extract-elf/extract-elf__h52gGrS/old/astra_runtime/agent_run_events.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__17-30-55-871426__extract-elf/extract-elf__h52gGrS/old/astra_runtime/inference_invocations.jsonl,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__17-30-55-871426__extract-elf/extract-elf__h52gGrS/old/astra_runtime/agent_run_events.jsonl
extract-moves-from-video,Hard,0.0,failed,0,2,failed,execution_incomplete,35,37,161522,1210688,0,28208,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__15-37-04-864703__extract-moves-from-video/extract-moves-from-video__YHpFMy5/agent/session.jsonl,1624.842763,42.036898,1742.820139,2026-09-10T16:06:09.179535Z,2,extract-moves-from-video__YHpFMy5,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__15-37-04-864703__extract-moves-from-video/extract-moves-from-video__YHpFMy5/result.json,task_native_turn,native_run_total,native_llm_rounds,native_tool_count,7d7e0c0e-ecfe-4e40-bb85-178c05186130,False,latest_run_by_job_timestamp,,1400418,0,0,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__15-37-04-864703__extract-moves-from-video/extract-moves-from-video__YHpFMy5/agent/session.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-10__15-37-04-864703__extract-moves-from-video/extract-moves-from-video__YHpFMy5/current/astra_runtime/agent_run_events.jsonl (cache_write_tokens only),/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__15-37-04-864703__extract-moves-from-video/extract-moves-from-video__YHpFMy5/agent/session.jsonl
feal-differential-cryptanalysis,Hard,1.0,passed,1,1,failed,execution_incomplete,7,5,39464,245120,0,18997,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__16-06-14-871723__feal-differential-cryptanalysis/feal-differential-cryptanalysis__YPvNfhg/agent/session.jsonl,333.447108,128.503226,488.014471,2026-09-10T16:14:23.866512Z,2,feal-differential-cryptanalysis__YPvNfhg,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__16-06-14-871723__feal-differential-cryptanalysis/feal-differential-cryptanalysis__YPvNfhg/result.json,task_native_turn,native_run_total,native_llm_rounds,native_tool_count,810fbedd-0165-4b8b-ab29-f091369b2298,False,latest_run_by_job_timestamp,,303581,0,0,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__16-06-14-871723__feal-differential-cryptanalysis/feal-differential-cryptanalysis__YPvNfhg/agent/session.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-10__16-06-14-871723__feal-differential-cryptanalysis/feal-differential-cryptanalysis__YPvNfhg/current/astra_runtime/agent_run_events.jsonl (cache_write_tokens only),/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__16-06-14-871723__feal-differential-cryptanalysis/feal-differential-cryptanalysis__YPvNfhg/agent/session.jsonl
feal-linear-cryptanalysis,Hard,1.0,passed,1,1,completed,completed,6,8,136388,141952,0,31611,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__22-58-36-970945__feal-linear-cryptanalysis/feal-linear-cryptanalysis__RkPFyaL/agent/session.jsonl,793.738118,22.913573,844.970391,2026-09-09T23:12:43.326756Z,1,feal-linear-cryptanalysis__RkPFyaL,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__22-58-36-970945__feal-linear-cryptanalysis/feal-linear-cryptanalysis__RkPFyaL/result.json,task_native_turn,native_run_total,native_llm_rounds,native_tool_count,df745f5a-9681-4a17-91a5-096b0ab4d0af,False,latest_run_by_job_timestamp,,309951,0,0,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__22-58-36-970945__feal-linear-cryptanalysis/feal-linear-cryptanalysis__RkPFyaL/agent/session.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__22-58-36-970945__feal-linear-cryptanalysis/feal-linear-cryptanalysis__RkPFyaL/old/astra_runtime/agent_run_events.jsonl (cache_write_tokens only),/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__22-58-36-970945__feal-linear-cryptanalysis/feal-linear-cryptanalysis__RkPFyaL/agent/session.jsonl
filter-js-from-html,Medium,0.0,failed,1,2,failed,execution_incomplete,9,8,91787,217152,0,20107,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__09-32-26-967995__filter-js-from-html/filter-js-from-html__H4GXQg6/agent/session.jsonl,436.165593,497.672002,973.097642,2026-09-09T09:48:41.449330Z,1,filter-js-from-html__H4GXQg6,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__09-32-26-967995__filter-js-from-html/filter-js-from-html__H4GXQg6/result.json,task_native_turn,native_run_total,native_llm_rounds,native_tool_count,8ccb3512-71dd-4702-a15c-db8e5dca8c29,False,latest_run_by_job_timestamp,,329046,0,0,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__09-32-26-967995__filter-js-from-html/filter-js-from-html__H4GXQg6/agent/session.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__09-32-26-967995__filter-js-from-html/filter-js-from-html__H4GXQg6/old/astra_runtime/agent_run_events.jsonl (cache_write_tokens only),/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__09-32-26-967995__filter-js-from-html/filter-js-from-html__H4GXQg6/agent/session.jsonl
financial-document-processor,Medium,1.0,passed,7,7,completed,completed,23,56,118195,862656,0,26802,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__20-52-30-246450__financial-document-processor/financial-document-processor__ijnKLsW/agent/session.jsonl,798.679307,44.223817,896.520678,2026-09-10T21:07:28.187911Z,2,financial-document-processor__ijnKLsW,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__20-52-30-246450__financial-document-processor/financial-document-processor__ijnKLsW/result.json,task_native_turn,native_run_total,native_llm_rounds,native_tool_count,a2c20c77-01a8-4685-9b7b-72c45117e43f,False,latest_run_by_job_timestamp,,1007653,0,0,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__20-52-30-246450__financial-document-processor/financial-document-processor__ijnKLsW/agent/session.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-10__20-52-30-246450__financial-document-processor/financial-document-processor__ijnKLsW/current/astra_runtime/agent_run_events.jsonl (cache_write_tokens only),/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-10__20-52-30-246450__financial-document-processor/financial-document-processor__ijnKLsW/agent/session.jsonl
fix-code-vulnerability,Hard,1.0,passed,6,6,completed,completed,9,9,57534,293312,0,1115,,True,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__17-47-08-622506__fix-code-vulnerability/fix-code-vulnerability__PmHjqfJ/agent/session.jsonl,94.603799,11.673775,134.137527,2026-09-09T17:49:23.913417Z,1,fix-code-vulnerability__PmHjqfJ,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__17-47-08-622506__fix-code-vulnerability/fix-code-vulnerability__PmHjqfJ/result.json,task_native_turn,native_run_total,native_llm_rounds,native_tool_count,5a5fddb7-f054-4300-8423-9bd3cad2ed8e,False,latest_run_by_job_timestamp,,351961,0,0,/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__17-47-08-622506__fix-code-vulnerability/fix-code-vulnerability__PmHjqfJ/agent/session.jsonl;/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/trace-supplements/all-verifier-attempts/attempts/2026-09-09__17-47-08-622506__fix-code-vulnerability/fix-code-vulnerability__PmHjqfJ/old/astra_runtime/agent_run_events.jsonl (cache_write_tokens only),/home/vagrant/moi-benchmark/work/linux-terminal-bench/astra/jobs/2026-09-09__17-47-08-622506__fix-code-vulnerability/fix-code-vulnerability__PmHjqfJ/agent/session.jsonl
